Net Status Report
Filename     : C:\Users\darcy\OneDrive\Documents\GitHub\stm-32-plc-project CBU6\stm32-plc\Main.PcbDoc
Date         : 18/02/2026
Time         : 1:24:00 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    24V, Signal Layers Only, 0mm
    24V_PREMEASURE, Signal Layers Only, 0mm
    3V3, Signal Layers Only, 0mm
    5V, Signal Layers Only, 0mm
    5V_ISO, Signal Layers Only, 0mm
    5V_ISO_GND, Signal Layers Only, 0mm
    A, Signal Layers Only, 34.7376mm
    AIN1, Signal Layers Only, 81.3161mm
    AIN1_FIELD, Signal Layers Only, 14.7006mm
    AIN2, Signal Layers Only, 68.5751mm
    AIN2_FIELD, Signal Layers Only, 18.9971mm
    AIN3, Signal Layers Only, 74.1507mm
    AIN3_FIELD, Signal Layers Only, 24.0321mm
    AIN4, Signal Layers Only, 62.2914mm
    AIN4_FIELD, Signal Layers Only, 31.3958mm
    AIN_SENSEA, Signal Layers Only, 19.8024mm
    AIN_SENSEB, Signal Layers Only, 18.033mm
    AIN_SENSEC, Signal Layers Only, 17.4699mm
    AIN_SENSED, Signal Layers Only, 19.1061mm
    AOUT1, Signal Layers Only, 22.012mm
    AOUT1_FIELD, Signal Layers Only, 11.9464mm
    AOUT2, Signal Layers Only, 7.9266mm
    AOUT2_FIELD, Signal Layers Only, 11.3342mm
    AOUT_CURRENTA, Signal Layers Only, 29.7235mm
    AOUT_CURRENTB, Signal Layers Only, 33.6044mm
    B, Signal Layers Only, 34.4794mm
    BTN1, Signal Layers Only, 142.4938mm
    BTN2, Signal Layers Only, 114.036mm
    CARD_DETECT, Signal Layers Only, 30.3507mm
    CLK, Signal Layers Only, 8.0674mm
    CMD, Signal Layers Only, 44.5018mm
    DAT0, Signal Layers Only, 50.6268mm
    DAT3, Signal Layers Only, 36.034mm
    DIN1, Signal Layers Only, 26.6335mm
    DIN1_FIELD, Signal Layers Only, 11.4322mm
    DIN2, Signal Layers Only, 28.1956mm
    DIN2_FIELD, Signal Layers Only, 11.3073mm
    DIN3, Signal Layers Only, 26.2754mm
    DIN3_FIELD, Signal Layers Only, 11.8002mm
